Year	MonthOfYear	DayOfMonth	HourOfDayUTC	DayOfYear	DayOfCentury	AirPressurehPa	AirTemperatureC	AirTemperatureHygroClipC	RelativeHumidity_wrtWater	RelativeHumidity	WindSpeedms	WindDirectiond	ShortwaveRadiationDownWm2	ShortwaveRadiationDown_CorWm2	ShortwaveRadiationUpWm2	ShortwaveRadiationUp_CorWm2	Albedo_theta70d	LongwaveRadiationDownWm2	LongwaveRadiationUpWm2	CloudCover	SurfaceTemperatureC	HeightSensorBoomm	HeightStakesm	DepthPressureTransducerm	DepthPressureTransducer_Corm	IceTemperature1C	IceTemperature2C	IceTemperature3C	IceTemperature4C	IceTemperature5C	IceTemperature6C	IceTemperature7C	IceTemperature8C	TiltToEastd	TiltToNorthd	TimeGPShhmmssUTC	LatitudeGPSddmm	LongitudeGPSddmm	ElevationGPSm	HorDilOfPrecGPS	LoggerTemperatureC	FanCurrentmA	BatteryVoltageV	time	HeightSensorBoomm_raw	SurfaceHeightm	DepthThermistor1m	DepthThermistor2m	DepthThermistor3m	DepthThermistor4m	DepthThermistor5m	DepthThermistor6m	DepthThermistor7m	DepthThermistor8m
2009	4	5	1	95	3383	798.92	-27.37	-28.59	82	100	4.79	100.6	-1.2	0	0.4	0	-999	161.1	197.4	0.52	-30.24	0	-0.004	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2.63	0.69	40	6700	4701	1830.6	1.57	-27.62	126	12.74	7.34E+05	2.516	0.004	0	0	0.414	1.414	2.414	3.414	4.414	7.414
2009	4	5	2	95	3383	798.83	-28.04	-29.27	82.1	100	5.19	104.6	-1.1	0	0.5	0	-999	165	196.1	0.61	-30.65	0	-0.004	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2.63	0.69	40	6700	4701	1830.6	1.57	-28.29	125.9	12.73	7.34E+05	2.516	0.004	0	0	0.414	1.414	2.414	3.414	4.414	7.414
2009	4	5	3	95	3383	798.45	-28.47	-29.72	81.5	100	5.17	103.7	-1.1	0	0.6	0	-999	168.8	195	0.69	-30.99	0	-0.0045	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2.63	0.69	40	6700	4701	1830.6	1.57	-28.81	127.9	12.72	7.34E+05	2.516	0.0045	0	0	0.4145	1.4145	2.4145	3.4145	4.4145	7.4145
2009	4	5	4	95	3383	798.36	-28.56	-29.76	80.7	100	4.93	107.7	-1.3	0	0.5	0	-999	173.4	194.7	0.75	-31.08	0	-0.005	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2.63	0.69	40	6700	4701	1830.6	1.57	-29.06	126.2	12.71	7.34E+05	2.515	0.005	0	0	0.415	1.415	2.415	3.415	4.415	7.415
2009	4	5	5	95	3383	798.25	-29.23	-30.45	74.7	99.3	5.21	105.8	-1	0	0.4	0	-999	175.1	193.7	0.82	-31.4	0	-0.005	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2.63	0.69	40	6700	4701	1830.6	1.57	-29.48	126	12.7	7.34E+05	2.515	0.005	0	0	0.415	1.415	2.415	3.415	4.415	7.415
2009	4	5	6	95	3383	798.22	-29.85	-31.02	73.9	98.8	5.22	106	-1.2	0	0.3	0	-999	174.6	192.5	0.84	-31.75	0	-0.005	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2.63	0.69	40	6700	4701	1830.6	1.57	-29.93	126	12.69	7.34E+05	2.515	0.005	0	0	0.415	1.415	2.415	3.415	4.415	7.415
2009	4	5	7	95	3383	798.29	-30.44	-31.64	73.4	98.7	5.49	106.6	-0.4	0.76097	1.1	0.7	-999	172.4	190.7	0.84	-32.32	0	-0.006	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2.63	0.69	40	6700	4701	1830.6	1.57	-30.58	128.2	12.68	7.34E+05	2.516	0.006	0	0	0.416	1.416	2.416	3.416	4.416	7.416
2009	4	5	8	95	3383	798.51	-30.37	-31.61	73.4	98.6	5.89	109.3	27	29.606	27.3	27.3	-999	172.9	191	0.85	-32.25	0	-0.007	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2.63	0.69	40	6700	4701	1830.6	1.57	-30.85	129.9	12.69	7.34E+05	2.516	0.007	0	0	0.417	1.417	2.417	3.417	4.417	7.417
2009	4	5	9	95	3383	798.75	-29.88	-31.14	72.8	97.4	5.84	112.3	114	132.34	121.8	121.8	-999	174.1	192.5	0.84	-31.77	0	-0.007	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2.63	0.69	40	6700	4701	1830.6	1.57	-29.83	128.2	12.78	7.34E+05	2.519	0.007	0	0	0.417	1.417	2.417	3.417	4.417	7.417
2009	4	5	10	95	3383	798.83	-28.67	-29.96	71.7	94.8	5.83	114	176	234.13	211.2	211.2	-999	172.2	196.1	0.74	-30.64	0	-0.007	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2.63	0.69	40	6700	4701	1830.6	1.57	-28.11	139.3	13.85	7.34E+05	2.519	0.007	0	0	0.417	1.417	2.417	3.417	4.417	7.417
2009	4	5	11	95	3383	798.89	-27.05	-28.31	70	91.2	5.99	113.6	230.2	333.7	291.9	291.9	-999	165.6	202.5	0.56	-28.7	0	-0.0075	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2.63	0.69	40	6700	4701	1830.6	1.57	-26.17	160.3	15.74	7.34E+05	2.565	0.0075	0	0	0.4175	1.4175	2.4175	3.4175	4.4175	7.4175
