depth_m;temperature_degC
17.1;-31.160137524558
17.2;-31.1597642436149
17.3;-31.1593909626719
17.4;-31.1590176817289
17.5;-31.1586444007859
17.6;-31.1582711198428
17.7;-31.1578978388998
17.8;-31.1575245579568
17.9;-31.1571512770138
18;-31.1567779960707
18.1;-31.1564047151277
18.2;-31.1560314341847
18.3;-31.1556581532417
18.4;-31.1552848722986
18.5;-31.1549115913556
18.6;-31.1545383104126
18.7;-31.1541650294695
18.8;-31.1537917485265
18.9;-31.1534184675835
19;-31.1530451866405
19.1;-31.1526719056974
19.2;-31.1522986247544
19.3;-31.1519253438114
19.4;-31.1515520628684
19.5;-31.1511787819253
19.6;-31.1508055009823
19.7;-31.1504322200393
19.8;-31.1500589390963
19.9;-31.1496856581532
20;-31.1493123772102
20.1;-31.1489390962672
20.2;-31.1485658153242
20.3;-31.1481925343811
20.4;-31.1478192534381
20.5;-31.1474459724951
20.6;-31.1470726915521
20.7;-31.146699410609
20.8;-31.146326129666
20.9;-31.145952848723
21;-31.14557956778
21.1;-31.1452062868369
21.2;-31.1448330058939
21.3;-31.1444597249509
21.4;-31.1440864440079
21.5;-31.1437131630648
21.6;-31.1433398821218
21.7;-31.1429666011788
21.8;-31.1425933202358
21.9;-31.1422200392927
22;-31.1418467583497
22.1;-31.1414734774067
22.2;-31.1411001964637
22.3;-31.1407269155206
22.4;-31.1403536345776
22.5;-31.1399803536346
22.6;-31.1396070726916
22.7;-31.1392337917485
22.8;-31.1388605108055
22.9;-31.1384872298625
23;-31.1381139489195
23.1;-31.1377406679764
23.2;-31.1373673870334
23.3;-31.1369941060904
23.4;-31.1366208251473
23.5;-31.1362475442043
23.6;-31.1358742632613
23.7;-31.1355009823183
23.8;-31.1351277013752
23.9;-31.1347544204322
24;-31.1343811394892
24.1;-31.1340078585462
24.2;-31.1336345776031
24.3;-31.1332612966601
24.4;-31.1328880157171
24.5;-31.1325147347741
24.6;-31.132141453831
24.7;-31.131768172888
24.8;-31.131394891945
24.9;-31.131021611002
25;-31.1306483300589
25.1;-31.1302750491159
25.2;-31.1299017681729
25.3;-31.1295284872299
25.4;-31.1291552062868
25.5;-31.1287819253438
25.6;-31.1284086444008
25.7;-31.1280353634578
25.8;-31.1276620825147
25.9;-31.1272888015717
26;-31.1269155206287
26.1;-31.1265422396857
26.2;-31.1261689587426
26.3;-31.1257956777996
26.4;-31.1254223968566
26.5;-31.1250491159136
26.6;-31.1246758349705
26.7;-31.1243025540275
26.8;-31.1239292730845
26.9;-31.1235559921415
27;-31.1231827111984
27.1;-31.1228094302554
27.2;-31.1224361493124
27.3;-31.1220628683694
27.4;-31.1216895874263
27.5;-31.1213163064833
27.6;-31.1209430255403
27.7;-31.1205697445973
27.8;-31.1201964636542
27.9;-31.1198231827112
28;-31.1194499017682
28.1;-31.1190766208251
28.2;-31.1187033398821
28.3;-31.1183300589391
28.4;-31.1179567779961
28.5;-31.117583497053
28.6;-31.11721021611
28.7;-31.116836935167
28.8;-31.116463654224
28.9;-31.1160903732809
29;-31.1157170923379
29.1;-31.1153438113949
29.2;-31.1149705304519
29.3;-31.1145972495088
29.4;-31.1142239685658
29.5;-31.1138506876228
29.6;-31.1134774066798
29.7;-31.1131041257367
29.8;-31.1127308447937
29.9;-31.1123575638507
30;-31.1119842829077
30.1;-31.1116110019646
30.2;-31.1112377210216
30.3;-31.1108644400786
30.4;-31.1104911591356
30.5;-31.1101178781925
30.6;-31.1097445972495
30.7;-31.1093713163065
30.8;-31.1089980353635
30.9;-31.1086247544204
31;-31.1082514734774
31.1;-31.1078781925344
31.2;-31.1075049115914
31.3;-31.1071316306483
31.4;-31.1067583497053
31.5;-31.1063850687623
31.6;-31.1060117878193
31.7;-31.1056385068762
31.8;-31.1052652259332
31.9;-31.1048919449902
32;-31.1045186640472
32.1;-31.1041453831041
32.2;-31.1037721021611
32.3;-31.1033988212181
32.4;-31.103025540275
32.5;-31.102652259332
32.6;-31.102278978389
32.7;-31.101905697446
32.8;-31.1015324165029
32.9;-31.1011591355599
33;-31.1007858546169
33.1;-31.1004125736739
33.2;-31.1000392927308
33.3;-31.0996660117878
33.4;-31.0992927308448
33.5;-31.0989194499018
33.6;-31.0985461689587
33.7;-31.0981728880157
33.8;-31.0977996070727
33.9;-31.0974263261297
34;-31.0970530451866
34.1;-31.0966797642436
34.2;-31.0963064833006
34.3;-31.0959332023576
34.4;-31.0955599214145
34.5;-31.0951866404715
34.6;-31.0948133595285
34.7;-31.0944400785855
34.8;-31.0940667976424
34.9;-31.0936935166994
35;-31.0933202357564
35.1;-31.0929469548134
35.2;-31.0925736738703
35.3;-31.0922003929273
35.4;-31.0918271119843
35.5;-31.0914538310413
35.6;-31.0910805500982
35.7;-31.0907072691552
35.8;-31.0903339882122
35.9;-31.0899607072692
36;-31.0895874263261
36.1;-31.0892141453831
36.2;-31.0888408644401
36.3;-31.0884675834971
36.4;-31.088094302554
36.5;-31.087721021611
36.6;-31.087347740668
36.7;-31.0869744597249
36.8;-31.0866011787819
36.9;-31.0862278978389
37;-31.0858546168959
37.1;-31.0854813359528
37.2;-31.0851080550098
