depth_m;temperature_degC
40;-16.1322431925863
40.1;-16.1315819766234
40.2;-16.1309207606604
40.3;-16.1302595446975
40.4;-16.1295983287346
40.5;-16.1289371127716
40.6;-16.1282758968087
40.7;-16.1276146808458
40.8;-16.1269534648828
40.9;-16.1262922489199
41;-16.125631032957
41.1;-16.1249698169941
41.2;-16.1243086010311
41.3;-16.1236473850682
41.4;-16.1229861691053
41.5;-16.1223249531423
41.6;-16.1216637371794
41.7;-16.1210025212165
41.8;-16.1203413052535
41.9;-16.1196800892906
42;-16.1190188733277
42.1;-16.1183576573647
42.2;-16.1176964414018
42.3;-16.1170352254389
42.4;-16.1163740094759
42.5;-16.115712793513
42.6;-16.1150515775501
42.7;-16.1143903615872
42.8;-16.1137291456242
42.9;-16.1130679296613
43;-16.1124067136984
43.1;-16.1117454977354
43.2;-16.1110842817725
43.3;-16.1104230658096
43.4;-16.1097618498466
43.5;-16.1091006338837
43.6;-16.1084394179208
43.7;-16.1077782019578
43.8;-16.1071169859949
43.9;-16.106455770032
44;-16.105794554069
44.1;-16.1051333381061
44.2;-16.1044721221432
44.3;-16.1038109061802
44.4;-16.1031496902173
44.5;-16.1024884742544
44.6;-16.1018272582915
44.7;-16.1011660423285
44.8;-16.1005048263656
44.9;-16.0998436104027
45;-16.0991823944397
45.1;-16.0985211784768
45.2;-16.0978599625139
45.3;-16.0971987465509
45.4;-16.096537530588
45.5;-16.0958763146251
45.6;-16.0952150986621
45.7;-16.0945538826992
45.8;-16.0938926667363
45.9;-16.0932314507733
46;-16.0925702348104
46.1;-16.0919090188475
46.2;-16.0912478028845
46.3;-16.0905865869216
46.4;-16.0899253709587
46.5;-16.0892641549958
46.6;-16.0886029390328
46.7;-16.0879417230699
46.8;-16.087280507107
46.9;-16.086619291144
47;-16.0859580751811
47.1;-16.0852968592182
47.2;-16.0846356432552
47.3;-16.0839744272923
47.4;-16.0833132113294
47.5;-16.0826519953664
47.6;-16.0819907794035
47.7;-16.0813295634406
47.8;-16.0806683474776
47.9;-16.0800071315147
48;-16.0793459155518
48.1;-16.0786846995888
48.2;-16.0780234836259
48.3;-16.077362267663
48.4;-16.0767010517001
48.5;-16.0760398357371
48.6;-16.0753786197742
48.7;-16.0747174038113
48.8;-16.0740561878483
48.9;-16.0733949718854
49;-16.0727337559225
49.1;-16.0720725399595
49.2;-16.0714113239966
49.3;-16.0707501080337
49.4;-16.0700888920707
49.5;-16.0694276761078
49.6;-16.0687664601449
49.7;-16.0681052441819
49.8;-16.067444028219
49.9;-16.0667828122561
50;-16.0661215962932
50.1;-16.0654603803302
50.2;-16.0647991643673
50.3;-16.0641379484044
50.4;-16.0634767324414
50.5;-16.0628155164785
50.6;-16.0621543005156
50.7;-16.0614930845526
50.8;-16.0608318685897
50.9;-16.0601706526268
51;-16.0595094366638
51.1;-16.0588482207009
51.2;-16.058187004738
51.3;-16.057525788775
51.4;-16.0568645728121
51.5;-16.0562033568492
51.6;-16.0555421408862
51.7;-16.0548809249233
51.8;-16.0542197089604
51.9;-16.0535584929975
52;-16.0528972770345
52.1;-16.0522360610716
52.2;-16.0515748451087
52.3;-16.0509136291457
52.4;-16.0502524131828
52.5;-16.0495911972199
52.6;-16.0489299812569
52.7;-16.048268765294
52.8;-16.0476075493311
52.9;-16.0469463333681
53;-16.0462851174052
53.1;-16.0456239014423
53.2;-16.0449626854793
53.3;-16.0443014695164
53.4;-16.0436402535535
53.5;-16.0429790375905
53.6;-16.0423178216276
53.7;-16.0416566056647
53.8;-16.0409953897018
53.9;-16.0403341737388
54;-16.0396729577759
54.1;-16.039011741813
54.2;-16.03835052585
54.3;-16.0376893098871
54.4;-16.0370280939242
54.5;-16.0363668779612
54.6;-16.0357056619983
54.7;-16.0350444460354
54.8;-16.0343832300724
54.9;-16.0337220141095
55;-16.0330607981466
55.1;-16.0323995821836
55.2;-16.0317383662207
55.3;-16.0310771502578
55.4;-16.0304159342949
55.5;-16.0297547183319
55.6;-16.029093502369
55.7;-16.0284322864061
55.8;-16.0277710704431
55.9;-16.0271098544802
56;-16.0264486385173
56.1;-16.0257874225543
56.2;-16.0251262065914
56.3;-16.0244649906285
56.4;-16.0238037746655
56.5;-16.0231425587026
56.6;-16.0224813427397
56.7;-16.0218201267767
56.8;-16.0211589108138
56.9;-16.0204976948509
57;-16.0198364788879
57.1;-16.019175262925
57.2;-16.0185140469621
57.3;-16.0178528309992
57.4;-16.0171916150362
57.5;-16.0165303990733
57.6;-16.0158691831104
57.7;-16.0152079671474
57.8;-16.0145467511845
57.9;-16.0138855352216
58;-16.0132243192586
58.1;-16.0125631032957
58.2;-16.0119018873328
58.3;-16.0112406713698
58.4;-16.0105794554069
58.5;-16.009918239444
58.6;-16.009257023481
58.7;-16.0085958075181
58.8;-16.0079345915552
58.9;-16.0072733755922
59;-16.0066121596293
59.1;-16.0059509436664
59.2;-16.0052897277035
59.3;-16.0046285117405
59.4;-16.0039672957776
59.5;-16.0033060798147
59.6;-16.0026448638517
59.7;-16.0019836478888
59.8;-16.0013224319259
59.9;-16.0006612159629
60;-16
