depth_m;temperature_degC
49.6;-10.214236004788
49.7;-10.2121760432035
49.8;-10.210116081619
49.9;-10.2080561200345
50;-10.20599615845
50.1;-10.2039361968655
50.2;-10.201876235281
50.3;-10.1998162736965
50.4;-10.197756312112
50.5;-10.1956963505275
50.6;-10.193636388943
50.7;-10.1915764273585
50.8;-10.189516465774
50.9;-10.1874565041895
51;-10.185396542605
51.1;-10.1833365810205
51.2;-10.181276619436
51.3;-10.1792166578515
51.4;-10.177156696267
51.5;-10.1750967346825
51.6;-10.173036773098
51.7;-10.1709768115135
51.8;-10.168916849929
51.9;-10.1668568883445
52;-10.16479692676
52.1;-10.1627369651755
52.2;-10.160677003591
52.3;-10.1586170420065
52.4;-10.156557080422
52.5;-10.1544971188375
52.6;-10.152437157253
52.7;-10.1503771956685
52.8;-10.148317234084
52.9;-10.1462572724995
53;-10.144197310915
53.1;-10.1421373493305
53.2;-10.140077387746
53.3;-10.1380174261615
53.4;-10.135957464577
53.5;-10.1338975029925
53.6;-10.131837541408
53.7;-10.1297775798235
53.8;-10.127717618239
53.9;-10.1256576566545
54;-10.12359769507
54.1;-10.1215377334855
54.2;-10.119477771901
54.3;-10.1174178103165
54.4;-10.115357848732
54.5;-10.1132978871475
54.6;-10.111237925563
54.7;-10.1091779639785
54.8;-10.107118002394
54.9;-10.1050580408095
55;-10.102998079225
55.1;-10.1009381176405
55.2;-10.098878156056
55.3;-10.0968181944715
55.4;-10.094758232887
55.5;-10.0926982713025
55.6;-10.090638309718
55.7;-10.0885783481335
55.8;-10.086518386549
55.9;-10.0844584249645
56;-10.08239846338
56.1;-10.0803385017955
56.2;-10.078278540211
56.3;-10.0762185786265
56.4;-10.074158617042
56.5;-10.0720986554575
56.6;-10.070038693873
56.7;-10.0679787322885
56.8;-10.065918770704
56.9;-10.0638588091195
57;-10.061798847535
57.1;-10.0597388859505
57.2;-10.057678924366
57.3;-10.0556189627815
57.4;-10.053559001197
57.5;-10.0514990396125
57.6;-10.049439078028
57.7;-10.0473791164435
57.8;-10.045319154859
57.9;-10.0432591932745
58;-10.04119923169
58.1;-10.0391392701055
58.2;-10.037079308521
58.3;-10.0350193469365
58.4;-10.032959385352
58.5;-10.0308994237675
58.6;-10.028839462183
58.7;-10.0267795005985
58.8;-10.024719539014
58.9;-10.0226595774295
59;-10.020599615845
59.1;-10.0185396542605
59.2;-10.016479692676
59.3;-10.0144197310915
59.4;-10.012359769507
59.5;-10.0102998079225
59.6;-10.008239846338
59.7;-10.0061798847535
59.8;-10.004119923169
59.9;-10.0020599615845
60;-10
