depth_m;lwc_kg
21.1;2.49660511360054
21.2;3.53661182165863
21.3;4.47571170378081
21.4;4.54757512073085
21.5;4.83585480692598
21.6;4.83585480692581
21.7;9.13757873436906
21.8;9.81016174400853
21.9;9.42220552586425
22;8.84338539427147
22.1;8.84338539427116
22.2;5.79802084289134
22.3;5.68400128033276
22.4;3.85518770182377
22.5;2.67690625194839
22.6;2.94078126473826
22.7;3.48833619576582
22.8;3.61256607695628
22.9;8.88077502806513
23;8.88077502806544
23.1;7.63269590821393
23.2;6.74606634507117
23.3;6.41386098601986
23.4;5.10222333006594
23.5;5.10222333006612
23.6;3.13698145195729
23.7;2.81914416569959
23.8;2.48699619032946
23.9;2.24096873804709
24;3.02766873341379
24.1;4.84864494729922
24.2;4.84864494729939
24.3;5.72437494808375
24.4;5.75461649549728
24.5;4.88863618371701
24.6;4.33290316193841
24.7;4.28371556504387
24.8;4.1612966501074
24.9;4.16129665010726
25;4.02466041603766
25.1;4.02018838304718
25.2;3.15423685317236
25.3;2.69487390027347
25.4;2.87243305588278
25.5;3.17475951578583
25.6;3.02264054635546
25.7;1.15452943249047
25.8;1.15452943249047
25.9;6.40167592143105
26;7.4956085079665
26.1;5.72626455345849
26.2;3.33844472876275
26.3;3.3426219731974
26.4;3.37133050487581
26.5;3.37133050487593
26.6;1.6481614698615
26.7;1.28932908856182
26.8;3.47798108041065
26.9;5.08401193337522
27;6.05714891392805
27.1;9.20900749752957
27.2;9.2090074975299
27.3;7.65390680984203
27.4;7.2373330542695
27.5;5.46207748400771
27.6;2.72629064929583
27.7;2.72681411826586
27.8;2.73107520608252
27.9;2.73107520608243
28;3.12904898279004
28.1;3.21336934090496
28.2;3.68421092671219
28.3;4.1025084693267
28.4;4.26352556010428
28.5;4.85971453060258
28.6;4.85971453060241
28.7;3.45191387380078
28.8;3.25503260027108
28.9;4.51356522168815
29;5.422303378353
29.1;4.71285110287735
29.2;2.35734340590059
29.3;2.35734340590059
29.4;2.2950040457744
29.5;2.29213307626421
29.6;1.30019733007722
29.7;0.83766875515314
29.8;1.56129433659942
29.9;2.47719632529657
30;2.42372268681005
30.1;2.14927385880717
30.2;2.14927385880733
30.3;2.01993508171358
30.4;2.00434144020636
30.5;2.54188998170317
30.6;2.86427498463056
30.7;2.5554514162605
30.8;1.94987371876129
30.9;2.32008248718724
31;7.11392178987313
31.1;7.11392178987288
31.2;4.38256505735727
31.3;3.09536592285664
31.4;2.56453296024603
31.5;1.72321039492708
