depth_m;density_kggm3
26.1;655.48638035878
26.2;730.279366677746
26.3;748.977613257488
26.4;748.977613257488
26.5;748.977613257488
26.6;748.977613257488
26.7;748.977613257488
26.8;730.983800196383
26.9;726.329037873375
27;684.436176966309
27.1;684.436176966309
27.2;684.436176966309
27.3;684.436176966309
27.4;684.436176966309
27.5;684.436176966309
27.6;670.631060921668
27.7;633.81741813596
27.8;654.66432427247
27.9;738.05194881851
28;738.05194881851
28.1;738.05194881851
28.2;738.05194881851
28.3;738.05194881851
28.4;738.05194881851
28.5;734.070518454983
28.6;733.572839659542
28.7;691.426125020384
28.8;649.279410381226
28.9;649.279410381226
29;649.279410381226
29.1;649.279410381226
29.2;649.279410381226
29.3;649.279410381226
29.4;667.040830327665
29.5;667.040830327665
29.6;667.040830327665
29.7;667.040830327665
29.8;667.040830327665
29.9;682.975810899017
30;746.715733184423
30.1;736.349628377462
30.2;694.885209149621
30.3;694.885209149621
30.4;708.401041562379
30.5;709.902800719352
30.6;709.902800719352
30.7;713.794263137316
30.8;717.68572555528
30.9;717.68572555528
31;717.68572555528
31.1;717.68572555528
31.2;737.716981942577
31.3;739.942677096721
31.4;718.645834377837
31.5;697.348991658953
31.6;697.348991658953
31.7;697.348991658953
31.8;697.348991658953
31.9;697.348991658953
32;697.201541622429
32.1;695.874491293714
32.2;695.874491293714
32.3;695.874491293714
32.4;695.874491293714
32.5;715.778130642437
32.6;717.989646125629
32.7;717.989646125629
32.8;717.989646125629
32.9;717.989646125629
33;731.646461364972
33.1;737.499382181834
33.2;737.499382181834
33.3;737.499382181834
33.4;737.499382181834
33.5;737.499382181834
33.6;674.598961793664
33.7;674.598961793664
33.8;674.598961793664
33.9;674.598961793664
34;674.598961793664
34.1;674.598961793664
34.2;722.148357341717
34.3;793.472450663795
34.4;793.472450663795
34.5;793.472450663795
34.6;793.472450663795
34.7;793.472450663795
34.8;751.50816596797
34.9;723.531976170753
35;723.531976170753
35.1;700.572606852999
35.2;698.021565817693
35.3;698.021565817693
35.4;698.021565817693
35.5;698.021565817693
35.6;698.021565817693
35.7;699.851284977566
35.8;704.120629683936
35.9;704.120629683936
36;704.120629683936
36.1;704.120629683936
36.2;708.279901243601
36.3;745.713345280585
36.4;745.713345280585
36.5;745.713345280585
36.6;747.56466768414
36.7;748.798882619844
36.8;748.798882619844
36.9;748.798882619844
37;748.798882619844
37.1;738.852071572148
37.2;736.365368810224
37.3;736.365368810224
37.4;736.365368810224
37.5;736.365368810224
37.6;781.689539614066
37.7;811.905653483294
37.8;795.474144193007
37.9;795.474144193007
38;795.474144193007
38.1;769.12439676403
38.2;742.774649335054
38.3;742.774649335054
38.4;742.774649335054
38.5;739.927777856759
38.6;733.285077740737
38.7;725.582503394729
38.8;694.772206010697
38.9;776.881648539225
39;805.674402656644
39.1;770.129943715904
39.2;770.129943715904
39.3;770.129943715904
39.4;768.813482273654
39.5;763.547636504656
39.6;763.547636504656
39.7;763.547636504656
39.8;763.547636504656
39.9;691.169683460995
40;685.760468129279
40.1;724.175329231201
40.2;724.175329231201
40.3;747.6960722365
40.4;757.776390667343
40.5;757.776390667343
40.6;757.776390667343
40.7;724.810120314741
40.8;675.360714785838
40.9;675.360714785838
41;675.360714785838
41.1;675.360714785838
41.2;675.360714785838
41.3;630.667605516064
41.4;619.494328198621
41.5;619.494328198621
41.6;721.598307284644
41.7;744.882958154927
41.8;750
41.9;750
42;750
42.1;750
42.2;750
42.3;750
42.4;750
42.5;754.157917044677
42.6;770.789585223387
42.7;770.789585223387
42.8;770.789585223387
42.9;770.313050618265
43;769.598248710583
43.1;769.598248710583
43.2;773.108696862584
43.3;777.275190305315
43.4;767.884568399683
43.5;767.884568399683
43.6;767.884568399683
43.7;767.884568399683
43.8;769.673595775132
43.9;785.774842154171
44;785.774842154171
44.1;775.121317838432
44.2;759.141031364823
44.3;759.141031364823
44.4;766.405359659715
44.5;767.212507248037
44.6;767.212507248037
44.7;767.212507248037
44.8;767.212507248037
44.9;763.819379898713
45;771.529987697453
45.1;792.914533243839
45.2;813.720618798044
45.3;816.032406081845
45.4;816.032406081845
45.5;815.618215518359
45.6;815.342088476034
45.7;815.342088476034
45.8;815.342088476034
45.9;815.342088476034
46;789.992024566993
46.1;775.563750934198
46.2;785.450826827124
46.3;785.450826827124
46.4;785.450826827124
46.5;785.450826827124
46.6;774.102538093538
46.7;747.623197715172
46.8;747.623197715172
46.9;752.671117603377
47;760.242997435685
47.1;760.242997435685
47.2;770.384528442785
47.3;777.145549114185
47.4;777.145549114185
47.5;777.145549114185
47.6;777.145549114185
47.7;777.457812519162
47.8;777.535878370406
47.9;777.535878370406
48;777.535878370406
48.1;775.425918050054
48.2;772.260977569525
48.3;772.260977569525
48.4;783.743943085661
48.5;788.665214021148
48.6;788.665214021148
48.7;790.908528407703
48.8;794.273499987536
48.9;794.273499987536
49;794.273499987536
49.1;794.273499987536
49.2;794.273499987536
49.3;838.169122839719
49.4;838.169122839719
49.5;838.169122839719
49.6;837.422664909695
49.7;830.704543539473
49.8;830.704543539473
49.9;830.704543539473
50;830.704543539473
50.1;825.057454353947
50.2;824.43
50.3;824.43
50.4;824.43
50.5;824.43
50.6;820.669555726127
50.7;818.162592876879
50.8;818.162592876879
50.9;818.162592876879
51;818.162592876879
51.1;822.047801950148
51.2;831.113289787778
51.3;831.113289787778
51.4;831.113289787778
51.5;831.113289787778
51.6;834.667973872667
51.7;867.123458477555
