depth_m;density_kggm3
27.8;875.241384252177
27.9;875.548794268375
28;871.04430484559
28.1;871.04430484559
28.2;871.184238305047
28.3;871.184238305047
28.4;851.900693144196
28.5;847.079806853983
28.6;863.380999013373
28.7;867.456297053221
28.8;879.265870534585
28.9;860.271195782725
29;839.800324345694
29.1;859.407909843977
29.2;879.21079729922
29.3;879.183388154366
29.4;879.017250427701
29.5;879.458858330991
29.6;879.753263599851
29.7;892.888729980686
29.8;900.394710769735
29.9;881.269607554647
30;868.519538744589
30.1;868.519538744589
30.2;889.853065325834
30.3;904.075416379997
30.4;878.028646744084
30.5;860.664133653475
30.6;873.522980140711
30.7;882.227734761337
30.8;882.388762338146
30.9;882.544980070431
31;848.931168748596
31.1;826.450838277642
31.2;832.110548937688
31.3;883.122823349717
31.4;883.255794955924
31.5;883.384277956224
31.6;885.77890237118
31.7;906.26865933748
31.8;901.953720735903
31.9;863.119273321702
32;866.12899772478
32.1;893.216517352474
32.2;894.422296296413
32.3;905.274306791863
32.4;905.274306791863
32.5;901.414327848986
32.6;897.554348906108
32.7;893.767199754606
32.8;889.980050603103
32.9;882.879145944036
33;875.778241284969
33.1;875.304847641031
33.2;874.831453997093
33.3;891.52629832053
33.4;908.221142643968
33.5;903.599504591381
33.6;885.140371930429
33.7;889.548060064587
33.8;907.022221784864
33.9;902.672669241303
34;885.294159870742
34.1;887.10785366089
34.2;894.251836497587
34.3;878.200419038382
34.4;840.747111633569
34.5;842.14544362797
34.6;847.738771605574
34.7;881.67594090539
34.8;885.456526845789
34.9;885.464253408283
35;885.469365256811
35.1;885.471915931144
35.2;885.471958971052
35.3;885.469547916305
35.4;885.464736306672
35.5;885.457577681923
35.6;873.519445990321
35.7;858.603961107714
35.8;885.422555114678
35.9;885.406543827163
36;885.38845322338
36.1;885.3683368431
36.2;885.346248226093
36.3;885.322240912128
36.4;885.296368440974
36.5;885.613644508018
36.6;888.705322820391
36.7;889.004938741912
36.8;891.701482035604
36.9;891.701482035604
37;891.701482035604
37.1;886.391282566498
37.2;885.028667785343
37.3;884.988418189135
37.4;884.946838833437
37.5;884.903983258018
37.6;884.859905002648
37.7;884.814657607096
37.8;884.768294611134
37.9;884.720869554529
38;884.672435977052
38.1;884.623047418473
38.2;884.572757418561
38.3;884.521619517087
38.4;879.313206275174
38.5;871.562783598474
38.6;877.793545654875
38.7;887.139688739476
38.8;885.239673433875
38.9;882.389650475474
39;883.260056148413
39.1;884.088416621405
39.2;884.032056895505
39.3;883.97538466574
39.4;883.91845347188
39.5;896.600212187801
39.6;909.324801872115
39.7;896.528544276676
39.8;883.689209850879
39.9;896.100358074727
40;908.554578761557
40.1;896.028733837369
40.2;883.460105985933
40.3;883.403253404853
40.4;893.960725030023
40.5;898.501136193983
40.6;889.41714577313
40.7;887.146148167917
40.8;883.924217712724
40.9;883.06981691596
41;903.328041170982
41.1;908.400691301106
41.2;852.945884634202
41.3;850.728019263782
41.4;897.311364449007
41.5;891.581878908756
41.6;868.663936747752
41.7;870.844227485496
41.8;879.565390436471
41.9;880.162208400055
42;882.522742319748
42.1;882.47905712828
42.2;882.43661208627
42.3;875.691910272794
42.4;848.861567369004
42.5;882.513783786584
42.6;890.926837890979
42.7;883.97847188381
42.8;882.210983199929
42.9;882.178718317677
43;882.148121903041
43.1;881.707291198696
43.2;881.601484741867
43.3;888.728137454952
43.4;890.509800633224
43.5;882.282178115122
43.6;880.225272485596
43.7;880.225272485596
43.8;890.613269899392
43.9;901.001267313188
44;893.377868506369
44.1;881.93699257884
44.2;893.104007502397
44.3;909.862583648491
44.4;898.687490614393
44.5;881.925798840836
44.6;887.592280373499
44.7;896.088355686172
44.8;896.088355686172
44.9;891.849697048631
45;881.969023055075
45.1;884.363693190585
45.2;889.918479880942
