depth_cm;density_kgm-1
8.86;475.4
8.87;475.4
8.88;475.4
8.89;475.4
8.9;475.4
8.91;475.4
8.92;475.4
8.93;475.4
8.94;475.4
8.95;475.4
8.96;475.4
8.97;475.4
8.98;475.4
8.99;475.4
9;475.4
9.01;475.4
9.02;475.4
9.03;850
9.04;850
9.05;850
9.06;850
9.07;850
9.08;850
9.09;850
9.1;850
9.11;475.4
9.12;475.4
9.13;475.4
9.14;475.4
9.15;475.4
9.16;475.4
9.17;475.4
9.18;475.4
9.19;850
9.2;475.4
9.21;475.4
9.22;475.4
9.23;475.4
9.24;475.4
9.25;850
9.26;850
9.27;850
9.28;475.4
9.29;475.4
9.3;475.4
9.31;475.4
9.32;475.4
9.33;475.4
9.34;475.4
9.35;475.4
9.36;475.4
9.37;475.4
9.38;475.4
9.39;475.4
9.4;475.4
9.41;475.4
9.42;475.4
9.43;547.58
9.44;547.58
9.45;547.58
9.46;547.58
9.47;547.58
9.48;547.58
9.49;547.58
9.5;547.58
9.51;547.58
9.52;547.58
9.53;547.58
9.54;547.58
9.55;547.58
9.56;547.58
9.57;547.58
9.58;547.58
9.59;547.58
9.6;547.58
9.61;547.58
9.62;547.58
9.63;547.58
9.64;547.58
9.65;547.58
9.66;547.58
9.67;547.58
9.68;547.58
9.69;547.58
9.7;547.58
9.71;547.58
9.72;547.58
9.73;547.58
9.74;547.58
9.75;547.58
9.76;547.58
9.77;547.58
9.78;547.58
9.79;547.58
9.8;547.58
9.81;547.58
9.82;547.58
9.83;547.58
9.84;547.58
9.85;547.58
9.86;547.58
9.87;547.58
9.88;547.58
9.89;547.58
9.9;547.58
9.91;547.58
9.92;547.58
9.93;547.58
9.94;547.58
9.95;547.58
9.96;547.58
9.97;547.58
9.98;547.58
9.99;547.58
10;547.58
10.01;547.58
10.02;547.58
10.03;547.58
10.04;547.58
10.05;547.58
10.06;547.58
10.07;547.58
10.08;547.58
10.09;547.58
10.1;547.58
10.11;547.58
10.12;547.58
10.13;547.58
10.14;547.58
10.15;547.58
10.16;547.58
10.17;547.58
10.18;547.58
10.19;547.58
10.2;547.58
10.21;547.58
10.22;547.58
10.23;547.58
10.24;547.58
10.25;547.58
10.26;547.58
10.27;547.58
10.28;547.58
10.29;547.58
10.3;547.58
10.31;547.58
10.32;547.58
10.33;547.58
10.34;547.58
10.35;547.58
10.36;850
10.37;850
10.38;850
10.39;538.2
10.4;538.2
10.41;538.2
10.42;538.2
10.43;538.2
10.44;538.2
10.45;538.2
10.46;538.2
10.47;538.2
10.48;538.2
10.49;538.2
10.5;538.2
10.51;538.2
10.52;538.2
10.53;538.2
10.54;538.2
10.55;538.2
10.56;538.2
10.57;538.2
10.58;538.2
10.59;538.2
10.6;538.2
10.61;538.2
10.62;538.2
10.63;538.2
10.64;538.2
10.65;538.2
10.66;538.2
10.67;538.2
10.68;538.2
10.69;538.2
10.7;538.2
10.71;538.2
10.72;538.2
10.73;538.2
10.74;538.2
10.75;538.2
10.76;538.2
10.77;538.2
10.78;538.2
10.79;538.2
10.8;538.2
10.81;538.2
10.82;538.2
10.83;538.2
10.84;538.2
10.85;538.2
10.86;538.2
10.87;538.2
10.88;538.2
10.89;538.2
10.9;538.2
10.91;538.2
10.92;538.2
10.93;538.2
10.94;538.2
10.95;538.2
10.96;538.2
10.97;538.2
10.98;538.2
10.99;538.2
11;538.2
11.01;538.2
11.02;538.2
11.03;538.2
11.04;538.2
11.05;538.2
11.06;538.2
11.07;538.2
11.08;538.2
11.09;538.2
11.1;538.2
11.11;538.2
11.12;538.2
11.13;538.2
11.14;538.2
11.15;538.2
11.16;538.2
11.17;538.2
11.18;538.2
11.19;538.2
11.2;498.55
11.21;498.55
11.22;498.55
11.23;498.55
11.24;498.55
11.25;498.55
11.26;498.55
11.27;498.55
11.28;498.55
11.29;498.55
11.3;498.55
11.31;498.55
11.32;498.55
11.33;498.55
11.34;498.55
11.35;498.55
11.36;498.55
11.37;498.55
11.38;498.55
11.39;498.55
11.4;498.55
11.41;498.55
11.42;498.55
11.43;498.55
11.44;498.55
11.45;498.55
11.46;498.55
11.47;498.55
11.48;498.55
11.49;498.55
11.5;498.55
11.51;498.55
11.52;498.55
11.53;498.55
11.54;498.55
11.55;498.55
11.56;498.55
11.57;498.55
11.58;850
11.59;850
11.6;498.55
11.61;498.55
11.62;498.55
11.63;498.55
11.64;498.55
11.65;498.55
11.66;498.55
11.67;850
11.68;850
11.69;850
11.7;850
11.71;850
11.72;498.55
11.73;498.55
11.74;498.55
11.75;498.55
11.76;498.55
11.77;498.55
11.78;498.55
11.79;850
11.8;850
11.81;850
11.82;498.55
11.83;498.55
11.84;498.55
11.85;498.55
11.86;498.55
11.87;498.55
11.88;850
11.89;498.55
11.9;498.55
11.91;498.55
11.92;498.55
11.93;498.55
11.94;498.55
11.95;498.55
11.96;498.55
11.97;498.55
11.98;498.55
11.99;498.55
12;498.55
12.01;498.55
12.02;498.55
12.03;498.55
12.04;498.55
12.05;850
12.06;542.55
12.07;542.55
12.08;542.55
12.09;542.55
12.1;542.55
12.11;542.55
12.12;542.55
12.13;542.55
12.14;542.55
12.15;542.55
12.16;542.55
12.17;542.55
12.18;542.55
12.19;542.55
12.2;542.55
12.21;542.55
12.22;542.55
12.23;542.55
12.24;542.55
12.25;542.55
12.26;542.55
12.27;542.55
12.28;542.55
12.29;542.55
12.3;542.55
12.31;542.55
12.32;542.55
12.33;542.55
12.34;542.55
12.35;542.55
12.36;542.55
12.37;542.55
12.38;542.55
12.39;542.55
12.4;542.55
12.41;542.55
12.42;542.55
12.43;542.55
12.44;850
12.45;542.55
12.46;542.55
12.47;542.55
12.48;542.55
12.49;542.55
12.5;542.55
12.51;542.55
12.52;542.55
12.53;542.55
12.54;542.55
12.55;542.55
12.56;542.55
12.57;542.55
12.58;850
12.59;542.55
12.6;542.55
12.61;542.55
12.62;542.55
12.63;542.55
12.64;542.55
12.65;542.55
12.66;542.55
12.67;542.55
12.68;542.55
12.69;542.55
12.7;542.55
12.71;542.55
12.72;542.55
12.73;542.55
12.74;542.55
12.75;542.55
12.76;542.55
12.77;850
12.78;542.55
12.79;542.55
12.8;542.55
12.81;542.55
12.82;542.55
12.83;542.55
12.84;542.55
12.85;542.55
12.86;542.55
12.87;542.55
12.88;542.55
12.89;542.55
12.9;542.55
12.91;542.55
12.92;542.55
12.93;542.55
12.94;542.55
12.95;542.55
12.96;542.55
12.97;542.55
12.98;542.55
12.99;542.55
13;850
13.01;538.76
13.02;538.76
13.03;538.76
13.04;538.76
13.05;538.76
13.06;538.76
13.07;538.76
13.08;538.76
13.09;538.76
13.1;538.76
13.11;538.76
13.12;538.76
13.13;538.76
13.14;538.76
13.15;538.76
13.16;538.76
13.17;538.76
13.18;538.76
