depth_m;dens;dd
4.56;409.68;0
4.57;409.68;0
4.58;409.68;0
4.59;409.68;0
4.6;409.68;0
4.61;409.68;0
4.62;409.68;0
4.63;409.68;0
4.64;409.68;0
4.65;409.68;0
4.66;409.68;0
4.67;409.68;0
4.68;409.68;0
4.69;409.68;0
4.7;409.68;0
4.71;409.68;0
4.72;409.68;0
4.73;409.68;0
4.74;409.68;0
4.75;409.68;0
4.76;409.68;0
4.77;409.68;0
4.78;409.68;0
4.79;409.68;0
4.8;409.68;0
4.81;409.68;0
4.82;409.68;0
4.83;409.68;0
4.84;409.68;0
4.85;409.68;0
4.86;409.68;0
4.87;850;100
4.88;850;100
4.89;409.68;0
4.9;409.68;0
4.91;409.68;0
4.92;409.68;0
4.93;409.68;0
4.94;409.68;0
4.95;409.68;0
4.96;409.68;0
4.97;409.68;0
4.98;409.68;0
4.99;409.68;0
5;409.68;0
5.01;409.68;0
5.02;409.68;0
5.03;475.55;0
5.04;475.55;0
5.05;475.55;0
5.06;475.55;0
5.07;475.55;0
5.08;475.55;0
5.09;475.55;0
5.1;475.55;0
5.11;475.55;0
5.12;475.55;0
5.13;475.55;0
5.14;475.55;0
5.15;475.55;0
5.16;475.55;0
5.17;475.55;0
5.18;475.55;0
5.19;475.55;0
5.2;475.55;0
5.21;475.55;0
5.22;475.55;0
5.23;475.55;0
5.24;475.55;0
5.25;475.55;0
5.26;475.55;0
5.27;475.55;0
5.28;475.55;0
5.29;475.55;0
5.3;475.55;0
5.31;475.55;0
5.32;475.55;0
5.33;475.55;0
5.34;475.55;0
5.35;475.55;0
5.36;475.55;0
5.37;475.55;0
5.38;475.55;0
5.39;475.55;0
5.4;475.55;0
5.41;475.55;0
5.42;475.55;0
5.43;475.55;0
5.44;475.55;0
5.45;475.55;0
5.46;475.55;0
5.47;475.55;0
5.48;475.55;0
5.49;475.55;0
5.5;475.55;0
5.51;475.55;0
5.52;475.55;0
5.53;475.55;0
5.54;475.55;0
5.55;475.55;0
5.56;475.55;0
5.57;475.55;0
5.58;475.55;0
5.59;475.55;0
5.6;475.55;0
5.61;475.55;0
5.62;475.55;0
5.63;475.55;0
5.64;475.55;0
5.65;475.55;0
5.66;475.55;0
5.67;475.55;0
5.68;475.55;0
5.69;475.55;0
5.7;475.55;0
5.71;475.55;0
5.72;475.55;0
5.73;475.55;0
5.74;475.55;0
5.75;475.55;0
5.76;475.55;0
5.77;475.55;0
5.78;475.55;0
5.79;475.55;0
5.8;475.55;0
5.81;475.55;0
5.82;475.55;0
5.83;475.55;0
5.84;475.55;0
5.85;475.55;0
5.86;475.55;0
5.87;475.55;0
5.88;475.55;0
5.89;475.55;0
5.9;475.55;0
5.91;475.55;0
5.92;475.55;0
5.93;475.55;0
5.94;475.55;0
5.95;475.55;0
5.96;475.55;0
5.97;475.55;0
5.98;475.55;0
5.99;475.55;0
6;475.55;0
6.01;475.55;0
6.02;475.55;0
6.03;475.55;0
6.04;475.55;0
6.05;475.55;0
6.06;475.55;0
6.07;475.55;0
6.08;475.55;0
6.09;475.55;0
6.1;475.55;0
6.11;475.55;0
6.12;475.55;0
6.13;394.99;0
6.14;394.99;0
6.15;394.99;0
6.16;394.99;0
6.17;394.99;0
6.18;394.99;0
6.19;394.99;0
6.2;394.99;0
6.21;394.99;0
6.22;394.99;0
6.23;394.99;0
6.24;394.99;0
6.25;394.99;0
6.26;394.99;0
6.27;394.99;0
6.28;394.99;0
6.29;394.99;0
6.3;394.99;0
6.31;394.99;0
6.32;394.99;0
6.33;394.99;0
6.34;394.99;0
6.35;394.99;0
6.36;394.99;0
6.37;394.99;0
6.38;394.99;0
6.39;394.99;0
6.4;394.99;0
6.41;394.99;0
6.42;394.99;0
6.43;394.99;0
6.44;394.99;0
6.45;394.99;0
6.46;394.99;0
6.47;394.99;0
6.48;394.99;0
6.49;394.99;0
6.5;394.99;0
6.51;394.99;0
6.52;394.99;0
6.53;394.99;0
6.54;394.99;0
6.55;394.99;0
6.56;394.99;0
6.57;850;100
6.58;850;100
6.59;850;100
6.6;850;100
6.61;850;100
6.62;850;100
6.63;850;100
6.64;850;100
6.65;850;100
6.66;394.99;0
6.67;394.99;0
6.68;394.99;0
6.69;394.99;0
6.7;394.99;0
6.71;394.99;0
6.72;394.99;0
6.73;394.99;0
6.74;850;100
